subj_no,age,group,stim,trial,difficulty,resp,corr,conf,RT_day1,RT_day2
40,19,2,1,1,3,1,1,3,1.007425474,0.906937868
40,36,2,1,2,1,1,1,4,0.331035777,0.370079306
40,35,2,1,3,3,1,1,3,1.033602562,1.042990699
40,26,2,2,4,1,2,1,4,0.363518942,0.38799966
40,38,2,2,5,1,2,1,4,0.369657535,0.32493785
40,32,2,2,6,2,2,1,4,0.755745911,0.856133053
40,31,2,1,7,1,1,1,5,0.665238137,0.640944756
40,34,2,1,8,2,1,1,4,0.704836065,0.766070059
40,34,2,1,9,1,2,0,3,0.557841426,0.522667528
40,25,2,1,10,2,2,0,2,0.659464072,0.669160834
40,19,2,2,11,3,1,0,2,0.766637495,0.818913133
40,36,2,2,12,3,1,0,2,0.983485747,1.031663888
40,35,2,1,13,3,2,0,1,0.521093705,0.503654494
40,26,2,1,14,3,2,0,1,1.110838718,1.073022114
40,38,2,1,15,3,1,1,3,0.76320186,0.683055888
40,32,2,2,16,2,2,1,3,0.579039267,0.580764156
40,31,2,2,17,2,2,1,3,0.468508714,0.461835686
40,34,2,1,18,2,2,0,2,0.583921864,0.565794294
40,34,2,1,19,1,1,1,5,0.402125891,0.403719748
40,25,2,2,20,1,1,0,3,0.579931358,0.61071928
40,19,2,1,21,3,1,1,3,0.568160072,0.616112746
40,36,2,1,22,1,1,1,5,0.456405989,0.452418473
40,35,2,2,23,3,2,1,2,1.151811275,1.131113263
40,26,2,2,24,2,1,0,2,0.78741029,0.755282092
40,38,2,2,25,2,1,0,3,0.615627084,0.551482767
40,32,2,2,26,3,1,0,2,0.854791954,0.7264531
40,31,2,2,27,3,2,1,3,1.003141655,1.0934148
40,34,2,2,28,2,2,1,4,0.525072435,0.546013723
40,34,2,2,29,2,2,1,4,0.515802693,0.620138658
40,25,2,2,30,3,1,0,1,1.49073829,1.377374363
40,19,2,2,31,1,2,1,4,0.412346138,0.349396091
40,36,2,2,32,1,2,1,5,0.50082314,0.519213655
40,35,2,2,33,2,2,1,4,0.543924219,0.599552613
40,26,2,2,34,3,2,1,3,0.62328909,0.596207652
40,38,2,1,35,2,1,1,3,0.475018263,0.434328485
40,32,2,1,36,1,1,1,5,0.377030182,0.299199848
40,31,2,2,37,3,2,1,2,0.538586671,0.518486248
40,34,2,1,38,2,2,0,3,0.755224916,0.693288905
40,34,2,2,39,2,2,1,3,0.338918858,0.323802231
40,25,2,1,40,2,2,0,3,0.631529306,0.634479166
40,19,2,2,41,2,1,0,3,0.977395473,0.988959329
40,36,2,1,42,1,1,1,4,0.31798076,0.343225339
40,35,2,1,43,3,2,0,1,0.525976754,0.435531574
40,26,2,1,44,2,1,1,3,0.705512295,0.629452716
40,38,2,2,45,3,1,0,2,0.896398194,0.925180708
40,32,2,1,46,3,2,0,1,0.935181826,0.888199658
40,31,2,1,47,2,1,1,3,0.778651487,0.667853378
40,34,2,1,48,1,1,1,4,0.479610189,0.44502216
40,34,2,2,49,1,2,1,4,0.349467431,0.347989227
40,25,2,2,50,1,1,0,3,0.685698817,0.781477031
40,19,2,2,51,3,2,1,2,0.828152697,0.805751924
40,36,2,2,52,2,2,1,4,0.810650015,0.790363427
40,35,2,2,53,1,2,1,4,0.279577243,0.19200356
40,26,2,1,54,1,1,1,4,0.376276448,0.261779768
40,38,2,2,55,2,2,1,4,0.587962528,0.641858832
40,32,2,2,56,1,2,1,4,0.393075907,0.371832154
40,31,2,2,57,2,1,0,2,0.8162562,0.793612983
40,34,2,1,58,1,1,1,4,0.379715443,0.324264976
40,34,2,1,59,1,2,0,4,0.578252723,0.54780526
40,25,2,1,60,3,2,0,2,0.852342922,0.834503501
40,19,2,1,61,1,1,1,5,0.397051767,0.404936646
40,36,2,2,62,3,2,1,3,0.757910122,0.669360774
40,35,2,2,63,3,2,1,2,0.820211875,0.821225928
40,26,2,1,64,1,1,1,4,0.525973245,0.598689974
40,38,2,2,65,1,2,1,5,0.464127998,0.423275142
40,32,2,1,66,3,1,1,3,1.240354111,1.131354101
