"","subj_no","age","group","stim","trial","difficulty","resp","corr","conf","RT_day1","RT_day2"
"1",2,29,2,2,1,1,2,1,4,0.307825927612126,1.16274020029757
"2",2,30,2,1,2,1,2,0,3,0.638524137129286,1.68524337133468
"3",2,23,2,2,3,3,2,1,3,1.07345366951871,2.37243203250996
"4",2,31,2,2,4,2,2,1,3,0.537210743716399,1.52516820974232
"5",2,24,2,1,5,1,2,0,3,0.645352464967526,1.6960321293191
"6",2,19,2,1,6,3,1,1,3,1.30700477109985,2.74144277300817
"7",2,18,2,2,7,3,2,1,3,0.572668639902578,1.58119168571648
"8",2,30,2,1,8,3,2,0,1,0.228672568487545,1.03767789288073
"9",2,36,2,2,9,2,2,1,4,0.777981382513584,1.90558581904187
"10",2,24,2,2,10,2,2,1,4,0.514455884995571,1.48921553296341
"11",2,29,2,2,11,2,2,1,4,0.531258212599121,1.51576321057702
"12",2,30,2,2,12,1,2,1,5,0.360424666863812,1.24584620831523
"13",2,23,2,1,13,1,2,0,3,0.525798049800293,1.50713615335487
"14",2,31,2,1,14,2,1,1,3,0.615512285831575,1.6488846462843
"15",2,24,2,1,15,2,1,1,4,0.406023050930838,1.31789165514113
"16",2,19,2,2,16,1,2,1,5,0.436885038776161,1.36665359593674
"17",2,18,2,1,17,3,1,1,3,0.522673988933901,1.50220013718597
"18",2,30,2,2,18,1,2,1,5,0.32972485705909,1.19734050882377
"19",2,36,2,2,19,1,2,1,5,0.368929790996315,1.25928430444459
"20",2,24,2,2,20,2,2,1,4,0.813888926193426,1.96231973805602
"21",2,29,2,2,21,3,1,0,1,0.91157682288672,2.11666661483143
"22",2,30,2,2,22,2,2,1,4,0.683550483740515,1.75638499898042
"23",2,23,2,2,23,2,2,1,3,0.68513453728084,1.75888780357414
"24",2,31,2,1,24,3,1,1,2,1.44148296837781,2.95391832470735
"25",2,24,2,2,25,3,2,1,3,0.680704671661052,1.75188861589487
"26",2,19,2,2,26,3,1,0,2,1.14451401283544,2.48470737495041
"27",2,18,2,2,27,1,1,0,3,0.495237989018769,1.45885125732006
"28",2,30,2,2,28,3,2,1,3,0.95557201307114,2.18617901532281
"29",2,36,2,2,29,3,2,1,3,0.564586089827822,1.56842125659837
"30",2,24,2,1,30,3,1,1,3,0.843348160423081,2.00886532813888
"31",2,29,2,2,31,1,2,1,5,0.370826243500393,1.26228069940103
"32",2,30,2,2,32,1,2,1,5,0.45481200750584,1.39497820652964
"33",2,23,2,1,33,1,1,1,5,0.553608851713855,1.5510772203783
"34",2,31,2,2,34,3,2,1,2,0.689124575233709,1.76519206353967
"35",2,24,2,1,35,1,2,0,4,0.638007330680735,1.68442681714597
"36",2,19,2,2,36,3,1,0,2,1.55474729107777,3.13287595457329
"37",2,18,2,2,37,2,2,1,3,0.614461797137802,1.64722487414814
"38",2,30,2,1,38,1,1,1,5,0.505708994283195,1.47539544563786
"39",2,36,2,2,39,2,2,1,3,0.568729281740675,1.57496749982068
"40",2,24,2,2,40,3,1,0,2,1.28249562000125,2.70271831427238
"41",2,29,2,2,41,1,2,1,4,0.314371230729743,1.1730817792234
"42",2,30,2,1,42,1,2,0,3,0.455275579016058,1.39571064951578
"43",2,23,2,2,43,1,1,0,3,0.325485692952192,1.19064262953487
"44",2,31,2,1,44,3,2,0,2,0.393484765607332,1.29808116432999
"45",2,24,2,1,45,1,1,1,4,0.439793207211534,1.37124850206463
"46",2,19,2,1,46,2,2,0,3,0.456440543717022,1.3975512937433
"47",2,18,2,1,47,3,1,1,3,0.526277844615532,1.50789422916295
"48",2,30,2,1,48,1,1,1,4,0.415505401021585,1.33287376828451
"49",2,36,2,1,49,1,1,1,4,0.329274452908705,1.19662887026616
"50",2,24,2,2,50,2,2,1,3,0.596614926296987,1.61902681821965
"51",2,29,2,1,51,2,2,0,2,0.717797939144096,1.81049597851808
"52",2,30,2,1,52,1,1,1,5,0.458422853901484,1.40068334383475
"53",2,23,2,1,53,1,1,1,5,0.525080566713531,1.50600253007779
"54",2,31,2,1,54,3,2,0,1,0.670950586110419,1.73647716072487
"55",2,24,2,2,55,2,2,1,3,0.62906684780995,1.67030085421013
"56",2,19,2,2,56,3,1,0,2,0.825981060604639,1.98142531042574
"57",2,18,2,2,57,1,1,0,4,0.377579340082498,1.27295059200076
"58",2,30,2,1,58,1,1,1,5,0.499774989321276,1.46601971779803
"59",2,36,2,1,59,2,2,0,2,0.693461587934904,1.77204454360756
"60",2,24,2,1,60,2,1,1,4,0.739335128812696,1.84452473819447
"61",2,29,2,1,61,1,2,0,3,0.404456359725126,1.31541628303611
"62",2,30,2,1,62,2,1,1,3,0.747215687587336,1.8569760210584
"63",2,23,2,1,63,3,1,1,2,0.604882263974048,1.63208921174941
"64",2,31,2,1,64,3,2,0,2,1.46969704814762,2.99849657074365
"65",2,24,2,1,65,2,2,0,3,0.805387342448435,1.94888723573894
"66",2,19,2,1,66,1,1,1,5,0.52577863930292,1.50710548476902
"67",2,18,2,1,67,2,2,0,3,0.773596653117871,1.89865794659665
"68",2,30,2,1,68,1,1,1,5,0.471104276075072,1.42071999086902
"69",2,36,2,2,69,2,2,1,3,0.574535252161228,1.58414093308515
"70",2,24,2,2,70,3,1,0,2,1.0374478171774,2.31554278581069
"71",2,29,2,2,71,2,1,0,3,0.770083302785991,1.89310685307227
"72",2,30,2,1,72,3,1,1,2,1.02969958706948,2.30330058224019
"73",2,23,2,2,73,2,2,1,4,0.521496008371874,1.50033892789797
"74",2,31,2,1,74,1,1,1,5,0.443140616186309,1.37653740824478
"75",2,24,2,1,75,2,2,0,3,0.850429181977906,2.0200533421955
"76",2,19,2,1,76,3,1,1,2,0.909315736463144,2.11309409828218
"77",2,18,2,2,77,2,2,1,3,0.743923089473106,1.85177371603792
"78",2,30,2,2,78,2,1,0,3,0.482768515908632,1.43914948980605
"79",2,36,2,2,79,2,2,1,4,0.73102512641281,1.83139493440265
"80",2,24,2,2,80,3,2,1,3,0.870870058617699,2.05234992728637
"81",2,29,2,1,81,3,2,0,1,0.280628302645692,1.1197679528506
"82",2,30,2,2,82,2,1,0,3,0.678301238096266,1.74809119086251
"83",2,23,2,1,83,2,1,1,4,0.650628977813042,1.70436901961502
"84",2,31,2,1,84,1,1,1,5,0.443267662449697,1.37673814134093
"85",2,24,2,2,85,2,1,0,3,0.665838779831391,1.72840050680401
"86",2,19,2,1,86,1,1,1,5,0.367716457353922,1.25736723728961
"87",2,18,2,2,87,1,2,1,5,0.351973118219382,1.23249276145703
"88",2,30,2,2,88,1,2,1,5,0.366204943612109,1.25497904557754
"89",2,36,2,1,89,1,2,0,4,0.669406182995299,1.73403700380298
"90",2,24,2,2,90,2,1,0,3,0.499237075779494,1.46516981440201
"91",2,29,2,2,91,1,2,1,4,0.331355409767223,1.19991678210262
"92",2,30,2,2,92,3,1,0,1,0.975498512162797,2.21766288388763
"93",2,23,2,2,93,3,2,1,2,0.906493583713619,2.10863509693793
"94",2,31,2,2,94,2,1,0,2,0.750132989912898,1.86158535873279
"95",2,24,2,2,95,3,2,1,2,0.980222168892825,2.22512626152107
"96",2,19,2,2,96,2,1,0,3,0.433845443557366,1.36185103549105
"97",2,18,2,1,97,3,1,1,3,0.928212438753839,2.14295088790148
"98",2,30,2,2,98,2,2,1,4,0.507746648396596,1.47861493913703
"99",2,36,2,1,99,1,1,1,5,0.44724253295836,1.38301843674462
"100",2,24,2,2,100,1,1,0,4,0.683320578530383,1.75602174874841
"101",2,29,2,2,101,2,2,1,3,0.639403070795113,1.68663208652669
"102",2,30,2,2,102,2,2,1,3,0.505998867950109,1.47585344603158
"103",2,23,2,2,103,1,2,1,5,0.46243806315807,1.40702737446016
"104",2,31,2,2,104,3,1,0,1,0.731904510472913,1.83278436121761
"105",2,24,2,2,105,3,2,1,3,0.76728520063583,1.88868585167502
"106",2,19,2,2,106,3,1,0,1,0.983329610943787,2.23003601996159
"107",2,18,2,2,107,2,2,1,4,0.423222181233247,1.34506628101894
"108",2,30,2,1,108,3,1,1,3,0.741859741696189,1.84851362655039
"109",2,36,2,1,109,3,2,0,2,1.37257087812312,2.84503722210493
"110",2,24,2,2,110,2,1,0,3,0.60056307561953,1.62526489414927
"111",2,29,2,1,111,1,2,0,3,0.550019242161704,1.5454056372859
"112",2,30,2,1,112,3,1,1,2,0.647649110983665,1.6996608300246
"113",2,23,2,2,113,2,1,0,2,0.69023599358618,1.76694810453657
"114",2,31,2,1,114,1,1,1,4,0.375088792091569,1.26901552617509
"115",2,24,2,1,115,1,2,0,3,0.606273265570163,1.63428699427127
"116",2,19,2,1,116,2,2,0,2,0.464332904578189,1.41002122390395
"117",2,18,2,1,117,2,1,1,4,0.702070339526233,1.78564637112186
"118",2,30,2,2,118,3,1,0,2,0.394619060902603,1.29987335089652
"119",2,36,2,1,119,3,2,0,1,0.741263884100549,1.84757217154928
"120",2,24,2,2,120,2,2,1,4,0.534454098299786,1.52081270998407
"121",2,29,2,2,121,2,2,1,3,0.48783826460731,1.44715969274996
"122",2,30,2,1,122,3,1,1,3,0.608897695942477,1.63843359425952
"123",2,23,2,1,123,1,1,1,5,0.421250080869539,1.34195036244428
"124",2,31,2,2,124,3,1,0,2,0.653612832641144,1.70908351024342
"125",2,24,2,2,125,2,2,1,4,0.769311914932148,1.8918880602632
"126",2,19,2,2,126,1,2,1,4,0.409965796370864,1.32412119293637
"127",2,18,2,1,127,1,1,1,5,0.307171929223267,1.16170688284317
"128",2,30,2,2,128,2,2,1,3,0.747486173187407,1.85740338830651
"129",2,36,2,1,129,2,2,0,3,0.64887007223542,1.70158994880237
"130",2,24,2,2,130,2,2,1,3,0.61289321609718,1.64474651610395
"131",2,29,2,1,131,2,2,0,3,0.542975560685735,1.53427662055387
"132",2,30,2,2,132,1,1,0,3,0.614394728643297,1.64711890592682
"133",2,23,2,1,133,3,2,0,1,1.67823198340622,3.32798176845224
"134",2,31,2,1,134,2,2,0,2,0.815962888090597,1.96559659785355
"135",2,24,2,1,135,2,1,1,3,0.746928066747567,1.85652158013157
"136",2,19,2,1,136,3,1,1,3,0.831350172085234,1.98990850656508
"137",2,18,2,1,137,2,1,1,3,0.584023909244825,1.59913301127723
"138",2,30,2,1,138,1,1,1,4,0.486099078741565,1.44441177908208
"139",2,36,2,1,139,3,1,1,2,0.868004995480365,2.04782312752939
"140",2,24,2,2,140,3,1,0,2,0.524149378365875,1.50453125248849
"141",2,29,2,2,141,3,1,0,1,1.06381442764358,2.35720203034727
"142",2,30,2,1,142,1,1,1,5,0.488305771797793,1.44789835411092
"143",2,23,2,2,143,3,1,0,2,1.28499148249662,2.70666177701507
"144",2,31,2,1,144,1,1,1,5,0.45512818658519,1.39547776947501
"145",2,24,2,1,145,2,1,1,3,0.720152972309226,1.81421693091899
"146",2,19,2,1,146,2,1,1,3,0.687452357555225,1.76254995960767
"147",2,18,2,2,147,1,2,1,4,0.248599353246836,1.06916221280041
"148",2,30,2,1,148,3,1,1,3,0.70670310539959,1.79296614120176
"149",2,36,2,2,149,3,2,1,3,0.956093608318841,2.18700313581418
"150",2,24,2,2,150,2,2,1,4,0.382501005674026,1.28072682363537
"151",2,29,2,2,151,2,1,0,2,0.675596512705127,1.74381772474451
"152",2,30,2,2,152,3,1,0,1,0.591033484787438,1.61020814063456
"153",2,23,2,2,153,3,1,0,2,1.7064104380919,3.37250372685562
"154",2,31,2,2,154,3,1,0,1,1.0523186094332,2.33903863757487
"155",2,24,2,2,155,2,2,1,4,0.441566292317846,1.37404997653261
"156",2,19,2,1,156,3,1,1,3,0.731427952614895,1.83203139980194
"157",2,18,2,1,157,3,1,1,2,1.22110425309543,2.60571995456119
"158",2,30,2,2,158,1,2,1,5,0.35982647716495,1.24490106859103
"159",2,36,2,1,159,3,2,0,2,1.14793837296173,2.49011786394994
"160",2,24,2,1,160,2,1,1,3,0.598058483409569,1.62130763845753
"161",2,29,2,2,161,3,1,0,2,0.632321076825544,1.67544253605477
"162",2,30,2,2,162,2,2,1,3,0.507069816741937,1.47754554512267
"163",2,23,2,2,163,2,2,1,3,0.493510409613952,1.45612168186045
"164",2,31,2,1,164,2,2,0,2,0.864926949586852,2.04295981501764
"165",2,24,2,1,165,3,2,0,2,1.17020239990169,2.52529502651508
"166",2,19,2,2,166,1,2,1,4,0.46438837693434,1.41010887022667
"167",2,18,2,1,167,2,1,1,3,0.662263893980079,1.72275218715893
"168",2,30,2,1,168,1,1,1,5,0.501959797551918,1.46947171480244
"169",2,36,2,2,169,3,1,0,1,1.17731698992747,2.53653607875582
"170",2,24,2,2,170,3,2,1,2,0.899399366872338,2.0974262343287
"171",2,29,2,2,171,3,2,1,3,0.934874791567773,2.15347740534749
"172",2,30,2,1,172,2,2,0,3,0.723091634372032,1.81886001697822
"173",2,23,2,2,173,2,2,1,4,0.635783859548135,1.68091373275646
"174",2,31,2,2,174,1,2,1,5,0.286038260826545,1.12831568677635
"175",2,24,2,1,175,1,1,1,5,0.525848342585995,1.50721561595628
"176",2,19,2,2,176,1,2,1,5,0.365227011250395,1.25343391244603
"177",2,18,2,2,177,3,2,1,3,1.00429388019101,2.2631595653722
"178",2,30,2,2,178,3,1,0,1,0.958511371754967,2.19082320204326
"179",2,36,2,2,179,3,2,1,2,0.893167003590354,2.08757910034317
"180",2,24,2,1,180,1,1,1,4,0.396371616914351,1.30264238939508
"181",2,29,2,2,181,1,2,1,5,0.348416139819614,1.2268727355854
"182",2,30,2,1,182,2,2,0,3,0.694060228732695,1.77299039606807
"183",2,23,2,1,183,3,2,0,1,1.49161791763756,3.03313154453775
"184",2,31,2,2,184,2,1,0,3,0.657302251553164,1.71491279212441
"185",2,24,2,1,185,2,1,1,4,0.872613723305313,2.0551049174928
"186",2,19,2,2,186,1,2,1,4,0.623143780779115,1.66094240830141
"187",2,18,2,1,187,1,1,1,4,0.357578075640367,1.24134859418219
"188",2,30,2,1,188,1,1,1,4,0.46030743359445,1.40366097974964
"189",2,36,2,1,189,1,2,0,4,0.50322188330232,1.47146581028807
"190",2,24,2,2,190,1,2,1,5,0.404645641419018,1.31571534811246
"191",2,29,2,1,191,1,1,1,4,0.395433157470664,1.30115962347406
"192",2,30,2,1,192,1,1,1,4,0.441516353959975,1.37397107392717
"193",2,23,2,1,193,2,1,1,3,0.508684840981365,1.48009728342097
"194",2,31,2,2,194,2,2,1,3,0.687446393719485,1.7625405367472
"195",2,24,2,1,195,1,1,1,4,0.32631095062184,1.19194653665292
"196",2,19,2,1,196,2,1,1,4,0.703035787228118,1.78717177849084
"197",2,18,2,2,197,2,1,0,2,0.467446126193439,1.41494011405604
"198",2,30,2,2,198,3,1,0,1,1.12953448992096,2.46103972874553
"199",2,36,2,2,199,3,2,1,2,0.996808153038961,2.25133211647197
"200",2,24,2,2,200,2,2,1,4,0.651895912466213,1.70637077636703
"201",2,29,2,1,201,1,1,1,4,0.401587401592338,1.3108833291863
"202",2,30,2,1,202,3,1,1,3,0.760331732573609,1.87769937213671
"203",2,23,2,1,203,3,2,0,2,1.03709433599631,2.31498428554459
"204",2,31,2,1,204,1,1,1,4,0.40891988037293,1.32246864565964
"205",2,24,2,1,205,1,2,0,3,0.479477184668388,1.43394918644646
"206",2,19,2,2,206,3,1,0,1,1.03996562519115,2.31952092247242
"207",2,18,2,2,207,1,2,1,5,0.566750574902414,1.57184114301622
"208",2,30,2,1,208,1,2,0,3,0.811390313324064,1.95837192972243
"209",2,36,2,1,209,3,2,0,2,1.02529412679057,2.29633995499951
"210",2,24,2,2,210,2,1,0,3,0.561359383827133,1.56332306111728
"211",2,29,2,1,211,1,2,0,4,0.598538297698157,1.6220657450335
"212",2,30,2,2,212,2,2,1,3,0.539849490241403,1.52933742925183
"213",2,23,2,1,213,2,2,0,2,0.590558803867898,1.60945814478169
"214",2,31,2,2,214,3,1,0,2,0.707407615838119,1.79407926769464
"215",2,24,2,2,215,2,1,0,3,0.717871201857977,1.81061173360601
"216",2,19,2,2,216,1,2,1,5,0.300828114146642,1.1516836550221
"217",2,18,2,1,217,3,2,0,1,0.890334596633183,2.08310389735084
"218",2,30,2,1,218,2,2,0,3,0.436088317907247,1.36539477696386
"219",2,36,2,1,219,3,2,0,2,0.706986064410092,1.79341321643835
"220",2,24,2,1,220,1,2,0,4,0.610887683842392,1.64157777514139
"221",2,29,2,1,221,3,1,1,2,0.485718549424359,1.4438105427609
"222",2,30,2,1,222,2,1,1,3,0.714920727502609,1.80594998412453
"223",2,23,2,2,223,1,1,0,4,0.441312352661949,1.37364875187629
"224",2,31,2,1,224,3,2,0,1,0.673858935964375,1.74107235349412
"225",2,24,2,1,225,3,1,1,2,0.676198479329817,1.74476883201152
"226",2,19,2,2,226,2,2,1,4,0.61306734051867,1.64502163268991
"227",2,18,2,1,227,1,1,1,5,0.481972725737098,1.43789214133502
"228",2,30,2,1,228,1,2,0,4,0.696942112431985,1.77754377231295
"229",2,36,2,1,229,3,2,0,2,1.21761798182272,2.6002116459503
"230",2,24,2,2,230,1,2,1,4,0.351249420010153,1.23134931828645
"231",2,29,2,1,231,1,2,0,4,0.595221923094598,1.61682587315987
"232",2,30,2,1,232,2,2,0,2,0.673661039478626,1.74075967704664
"233",2,23,2,2,233,3,1,0,2,0.851352446325734,2.02151209986507
"234",2,31,2,2,234,3,1,0,1,1.08627434149572,2.39268869423365
"235",2,24,2,1,235,3,1,1,3,0.73848890737531,1.8431877083234
"236",2,19,2,1,236,2,1,1,4,0.363545231402675,1.25077670028664
"237",2,18,2,2,237,3,1,0,2,1.34782685543658,2.8059416662602
"238",2,30,2,2,238,1,2,1,4,0.366133758492454,1.25486657308849
"239",2,36,2,1,239,1,1,1,5,0.357674784920111,1.24150139484418
"240",2,24,2,1,240,1,1,1,4,0.432387966101586,1.35954822111092
"241",1,21,1,2,1,1,2,1,4,0.511131044948446,1.13176006886526
"242",1,27,1,1,2,3,2,0,1,1.2946032491484,2.36964615150119
"243",1,22,1,2,3,1,2,1,4,0.46478565980636,1.05853436034077
"244",1,24,1,1,4,1,1,1,5,0.465723909610536,1.06001679503137
"245",1,28,1,2,5,3,1,0,2,1.4165335582955,2.56229603995361
"246",1,18,1,1,6,3,1,1,2,0.69954031622141,1.42944671747655
"247",1,30,1,1,7,2,1,1,3,0.474521534368628,1.07391704214915
"248",1,20,1,2,8,3,1,0,1,0.933837888663129,1.79963688193446
"249",1,24,1,2,9,2,1,0,3,0.880597084917368,1.71551641201616
"250",1,30,1,1,10,1,1,1,5,0.445316226361087,1.02777265549724
"251",1,21,1,2,11,1,2,1,5,0.473364523929757,1.07208896565574
"252",1,27,1,2,12,2,2,1,4,0.597416961011793,1.26809181624535
"253",1,22,1,2,13,3,1,0,2,1.44317421457198,2.60438827687044
"254",1,24,1,2,14,3,1,0,1,1.76789090940301,3.11744065470347
"255",1,28,1,2,15,2,1,0,2,0.760606527231361,1.52593133087227
"256",1,18,1,1,16,1,1,1,4,0.342921473771935,0.865988946406378
"257",1,30,1,1,17,3,1,1,3,1.16097412086524,2.15851212881381
"258",1,20,1,1,18,3,2,0,1,1.21525600450439,2.24427750496366
"259",1,24,1,2,19,3,2,1,2,0.994591073015597,1.89562691321136
"260",1,30,1,1,20,2,1,1,4,0.57409475605304,1.23124273241052
"261",1,21,1,1,21,2,1,1,3,0.458944619657573,1.04930551690569
"262",1,27,1,1,22,1,2,0,4,0.644897548186476,1.34311114398135
"263",1,22,1,1,23,1,1,1,4,0.514799298060145,1.13755590878175
"264",1,24,1,2,24,3,1,0,2,0.964153634621129,1.8475357605481
"265",1,28,1,2,25,2,2,1,4,0.589583468212377,1.25571489762228
"266",1,18,1,2,26,3,1,0,2,1.12237943239978,2.09753252103838
"267",1,30,1,2,27,2,2,1,3,0.623481667266047,1.30927405212707
"268",1,20,1,1,28,2,2,0,2,0.978783621803776,1.87065114029669
"269",1,24,1,1,29,2,1,1,4,0.543836206566741,1.18343422422217
"270",1,30,1,2,30,3,1,0,1,0.716421687177578,1.45611928358729
"271",1,21,1,1,31,2,1,1,4,0.612397021979969,1.29176031257507
"272",1,27,1,1,32,1,1,1,5,0.354857976017558,0.884848619954461
"273",1,22,1,1,33,3,1,1,3,0.869872811099416,1.6985720593838
"274",1,24,1,1,34,3,2,0,2,0.728019629951335,1.47444403316983
"275",1,28,1,1,35,3,2,0,1,1.4877927438297,2.67488555309765
"276",1,18,1,1,36,1,1,1,5,0.327780721103251,0.842066557189856
"277",1,30,1,2,37,3,2,1,2,0.634072837193129,1.32600810061186
