"","subj_no","age","group","stim","trial","difficulty","resp","corr","conf","RT_day1","RT_day2"
"1",10,23,2,2,1,2,1,0,2,0.607614943256334,1.55894541947782
"2",10,36,2,1,2,3,2,0,1,0.709003690648685,1.71913964035774
"3",10,38,2,2,3,2,2,1,4,0.623201343356036,1.58357193163535
"4",10,25,2,2,4,1,1,0,3,0.688075932617567,1.68607378266857
"5",10,20,2,1,5,2,1,1,4,0.729647977614218,1.75175761376328
"6",10,40,2,1,6,1,1,1,5,0.409868386653865,1.24650586004592
"7",10,23,2,2,7,3,1,0,2,0.731638088206367,1.75490198849887
"8",10,20,2,2,8,1,1,0,4,0.443952475990547,1.30035872119788
"9",10,40,2,2,9,3,1,0,1,1.34663842111463,2.72660251449393
"10",10,23,2,2,10,1,1,0,4,0.569362745180381,1.49850694651782
"11",10,23,2,1,11,1,1,1,5,0.346703072254113,1.14670466329431
"12",10,36,2,1,12,2,2,0,2,0.742877026058049,1.77265951030453
"13",10,38,2,2,13,3,1,0,1,0.99696099209907,2.17411217664934
"14",10,25,2,2,14,2,2,1,3,0.6421189212578,1.61346170472014
"15",10,20,2,1,15,2,2,0,3,0.840221102554756,1.92646315116933
"16",10,40,2,1,16,2,1,1,4,0.591093908532666,1.53284218461443
"17",10,23,2,1,17,1,1,1,4,0.611222703128785,1.56464568007629
"18",10,20,2,2,18,1,2,1,5,0.481894354998255,1.36030689003006
"19",10,40,2,1,19,1,1,1,4,0.387171006440054,1.2106439993081
"20",10,23,2,1,20,1,2,0,4,0.626453324415254,1.58871006170891
"21",10,23,2,2,21,3,2,1,3,0.327720792917462,1.1167126619424
"22",10,36,2,1,22,1,1,1,5,0.455750739300231,1.31899997722718
"23",10,38,2,2,23,1,2,1,4,0.40837268237081,1.24414264727869
"24",10,25,2,2,24,3,2,1,2,0.574115282410826,1.50601595534192
"25",10,20,2,1,25,2,2,0,3,1.01032221861057,2.19522291453751
"26",10,40,2,1,26,2,1,1,4,0.664281647685352,1.64847881247567
"27",10,23,2,1,27,3,2,0,2,0.363580392302839,1.1733708289713
"28",10,20,2,1,28,1,1,1,5,0.5618533313372,1.48664207264559
"29",10,40,2,1,29,2,2,0,2,0.738129859752472,1.76515898754172
"30",10,23,2,1,30,2,1,1,3,0.764468335022627,1.80677377846857
"31",10,23,2,1,31,1,1,1,5,0.357697176473411,1.1640753479608
"32",10,36,2,2,32,1,1,0,4,0.610569746428827,1.56361400849036
"33",10,38,2,1,33,1,1,1,4,0.325982420781719,1.11396603396793
"34",10,25,2,1,34,1,1,1,5,0.404291361346831,1.23769416006081
"35",10,20,2,2,35,1,2,1,5,0.400538388932855,1.23176446364673
"36",10,40,2,2,36,2,2,1,4,0.345243242612696,1.14439813246087
"37",10,23,2,1,37,1,1,1,4,0.400560349209375,1.23179916088363
"38",10,20,2,2,38,3,1,0,1,1.14269255315762,2.40436804312185
"39",10,40,2,1,39,1,1,1,4,0.349436275585413,1.15102312455777
"40",10,23,2,1,40,1,1,1,5,0.323634222219537,1.11025588023968
"41",10,23,2,1,41,1,2,0,4,0.476460698878079,1.35172171336018
"42",10,36,2,2,42,3,2,1,3,0.500213940072176,1.38925183444685
"43",10,38,2,1,43,2,2,0,2,0.685351504397382,1.68176918608068
"44",10,25,2,2,44,1,1,0,4,0.59257261646032,1.53517854314012
"45",10,20,2,2,45,3,1,0,1,0.597877238812866,1.54355984645714
