"","subj_no","age","day","stim","trial","difficulty","resp","corr","conf","RT"
"1",10,23,1,2,1,2,1,0,2,0.607614943256334
"2",10,36,1,1,2,3,2,0,1,0.709003690648685
"3",10,38,1,2,3,2,2,1,4,0.623201343356036
"4",10,25,1,2,4,1,1,0,3,0.688075932617567
"5",10,20,1,1,5,2,1,1,4,0.729647977614218
"6",10,40,1,1,6,1,1,1,5,0.409868386653865
"7",10,23,1,2,7,3,1,0,2,0.731638088206367
"8",10,20,1,2,8,1,1,0,4,0.443952475990547
"9",10,40,1,2,9,3,1,0,1,1.34663842111463
"10",10,23,1,2,10,1,1,0,4,0.569362745180381
"11",10,23,1,1,11,1,1,1,5,0.346703072254113
"12",10,36,1,1,12,2,2,0,2,0.742877026058049
"13",10,38,1,2,13,3,1,0,1,0.99696099209907
"14",10,25,1,2,14,2,2,1,3,0.6421189212578
"15",10,20,1,1,15,2,2,0,3,0.840221102554756
"16",10,40,1,1,16,2,1,1,4,0.591093908532666
"17",10,23,1,1,17,1,1,1,4,0.611222703128785
"18",10,20,1,2,18,1,2,1,5,0.481894354998255
"19",10,40,1,1,19,1,1,1,4,0.387171006440054
"20",10,23,1,1,20,1,2,0,4,0.626453324415254
"21",10,23,1,2,21,3,2,1,3,0.327720792917462
"22",10,36,1,1,22,1,1,1,5,0.455750739300231
"23",10,38,1,2,23,1,2,1,4,0.40837268237081
"24",10,25,1,2,24,3,2,1,2,0.574115282410826
"25",10,20,1,1,25,2,2,0,3,1.01032221861057
"26",10,40,1,1,26,2,1,1,4,0.664281647685352
"27",10,23,1,1,27,3,2,0,2,0.363580392302839
"28",10,20,1,1,28,1,1,1,5,0.5618533313372
"29",10,40,1,1,29,2,2,0,2,0.738129859752472
"30",10,23,1,1,30,2,1,1,3,0.764468335022627
"31",10,23,1,1,31,1,1,1,5,0.357697176473411
"32",10,36,1,2,32,1,1,0,4,0.610569746428827
"33",10,38,1,1,33,1,1,1,4,0.325982420781719
"34",10,25,1,1,34,1,1,1,5,0.404291361346831
"35",10,20,1,2,35,1,2,1,5,0.400538388932855
"36",10,40,1,2,36,2,2,1,4,0.345243242612696
"37",10,23,1,1,37,1,1,1,4,0.400560349209375
"38",10,20,1,2,38,3,1,0,1,1.14269255315762
"39",10,40,1,1,39,1,1,1,4,0.349436275585413
"40",10,23,1,1,40,1,1,1,5,0.323634222219537
"41",10,23,1,1,41,1,2,0,4,0.476460698878079
"42",10,36,1,2,42,3,2,1,3,0.500213940072176
"43",10,38,1,1,43,2,2,0,2,0.685351504397382
"44",10,25,1,2,44,1,1,0,4,0.59257261646032
"45",10,20,1,2,45,3,1,0,1,0.597877238812866
"46",10,40,1,2,46,3,2,1,2,0.908052728715827
"47",10,23,1,1,47,3,2,0,1,0.644122677805534
"48",10,20,1,2,48,3,1,0,1,0.334055672302499
"49",10,40,1,1,49,3,1,1,2,0.624890659883099
"50",10,23,1,2,50,2,1,0,2,0.5569056333427
"51",10,23,1,2,51,3,2,1,2,0.911362285473987
"52",10,36,1,1,52,2,1,1,4,0.596018526828819
"53",10,38,1,2,53,2,1,0,2,0.883815310224645
"54",10,25,1,2,54,1,2,1,5,0.335169347723035
"55",10,20,1,2,55,2,2,1,4,0.704454726677762
"56",10,40,1,1,56,2,2,0,3,0.69476067347048
"57",10,23,1,1,57,1,1,1,5,0.445639596815912
"58",10,20,1,1,58,2,1,1,4,0.749589630923082
"59",10,40,1,1,59,3,2,0,1,0.568534597792706
"60",10,23,1,1,60,3,2,0,2,0.641264271818936
"61",10,23,1,1,61,1,1,1,4,0.312065459971303
"62",10,36,1,2,62,3,1,0,2,1.60844131414771
"63",10,38,1,1,63,2,2,0,3,0.805195829746215
"64",10,25,1,2,64,2,1,0,3,0.612223246565237
"65",10,20,1,2,65,3,2,1,2,0.678516496449543
"66",10,40,1,2,66,2,2,1,3,0.63499179334671
"67",10,23,1,2,67,2,2,1,4,0.555285806719682
"68",10,20,1,1,68,3,2,0,1,1.27402864305213
"69",10,40,1,1,69,3,1,1,2,0.219311959765489
"70",10,23,1,1,70,1,1,1,4,0.33580444498102
"71",10,23,1,2,71,1,2,1,5,0.471202742586779
"72",10,36,1,1,72,3,1,1,3,1.03017111371023
"73",10,38,1,2,73,2,1,0,3,0.703835674275394
"74",10,25,1,2,74,2,2,1,3,0.516324508713217
"75",10,20,1,1,75,1,1,1,4,0.447349020433378
"76",10,40,1,1,76,2,2,0,3,0.492185067467804
"77",10,23,1,2,77,1,2,1,5,0.383958644207931
"78",10,20,1,2,78,1,1,0,3,0.587853922597692
"79",10,40,1,1,79,3,2,0,2,0.946251901562454
"80",10,23,1,1,80,2,2,0,2,0.749904644150338
"81",10,23,1,1,81,2,2,0,3,0.485144360170986
"82",10,36,1,2,82,2,2,1,4,0.484459508000181
"83",10,38,1,2,83,3,2,1,3,0.781701098376676
"84",10,25,1,2,84,2,2,1,4,0.740147085658572
"85",10,20,1,1,85,3,2,0,2,1.91458042542412
"86",10,40,1,2,86,2,1,0,2,0.553737935501264
"87",10,23,1,2,87,2,1,0,3,0.547247347281847
"88",10,20,1,1,88,1,1,1,4,0.317610208864168
"89",10,40,1,1,89,2,1,1,3,0.540301588936584
"90",10,23,1,1,90,1,1,1,4,0.390166084604744
"91",10,23,1,1,91,1,1,1,4,0.466199135535203
"92",10,36,1,2,92,1,2,1,5,0.409720009364351
"93",10,38,1,1,93,1,1,1,5,0.336501536787141
"94",10,25,1,1,94,3,2,0,2,0.457969688319137
"95",10,20,1,1,95,1,1,1,4,0.412032398502611
"96",10,40,1,1,96,1,2,0,3,0.666323491077492
"97",10,23,1,2,97,2,1,0,3,0.795658023202606
"98",10,20,1,1,98,3,1,1,3,0.608571705140329
"99",10,40,1,1,99,1,1,1,4,0.473768287161419
"100",10,23,1,2,100,1,2,1,5,0.479980401471415
"101",10,23,1,2,101,1,2,1,5,0.439443077138936
"102",10,36,1,2,102,1,2,1,4,0.424194149764179
"103",10,38,1,2,103,1,1,0,4,0.436428708391534
"104",10,25,1,1,104,1,1,1,5,0.418444746114172
"105",10,20,1,1,105,1,1,1,5,0.293013754525174
"106",10,40,1,1,106,1,1,1,5,0.582502902193565
"107",10,23,1,1,107,2,1,1,4,0.534374711870443
"108",10,20,1,2,108,1,2,1,5,0.336064367008089
"109",10,40,1,1,109,3,2,0,1,1.29100895091868
"110",10,23,1,1,110,2,1,1,3,0.725975080822472
"111",10,23,1,2,111,2,1,0,3,0.576441647706063
"112",10,36,1,1,112,3,1,1,3,1.2973702667461
"113",10,38,1,2,113,3,2,1,2,0.832990021941063
"114",10,25,1,1,114,2,2,0,2,0.542661475890517
"115",10,20,1,1,115,3,2,0,1,1.35553840206915
"116",10,40,1,2,116,3,1,0,1,1.29315232255548
"117",10,23,1,2,117,2,1,0,2,0.193095073540954
"118",10,20,1,1,118,3,1,1,3,0.602234453232209
"119",10,40,1,2,119,3,2,1,3,0.222090870059849
"120",10,23,1,2,120,1,2,1,4,0.362065425061623
"121",10,23,1,1,121,1,1,1,5,0.338201041764599
"122",10,36,1,2,122,2,2,1,4,0.670427646172276
"123",10,38,1,2,123,2,1,0,3,1.02164257708029
"124",10,25,1,2,124,2,2,1,3,0.527589524118988
"125",10,20,1,2,125,3,2,1,2,0.690219811365698
"126",10,40,1,1,126,1,1,1,5,0.489730403781178
"127",10,23,1,1,127,3,1,1,3,0.742156817525633
"128",10,20,1,1,128,3,2,0,2,1.11807141092035
"129",10,40,1,1,129,2,2,0,3,0.635707108165646
"130",10,23,1,2,130,1,2,1,5,0.380205430497236
"131",10,23,1,1,131,1,1,1,4,0.331750810185399
"132",10,36,1,1,132,2,1,1,3,0.568641322080733
"133",10,38,1,2,133,3,1,0,1,0.834445640282511
"134",10,25,1,2,134,2,1,0,3,0.517211452139499
"135",10,20,1,2,135,1,2,1,5,0.472808880258042
"136",10,40,1,2,136,3,2,1,2,0.722992831602636
"137",10,23,1,1,137,2,2,0,3,0.847214480252215
"138",10,20,1,2,138,3,2,1,3,0.715650875790844
"139",10,40,1,2,139,2,2,1,4,0.48778777776615
"140",10,23,1,1,140,3,2,0,2,0.461789122666009
"141",10,23,1,2,141,2,2,1,3,0.594193901087024
"142",10,36,1,2,142,2,1,0,3,0.323221071931271
